,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
0,HP,HP:0002099,Asthma,5.872962271337836e-23,True,"Asthma is characterized by increased responsiveness of the tracheobronchial tree to multiple stimuli, leading to narrowing of the air passages with resultant dyspnea, cough, and wheezing.",131,59,26,4856,0.4406779661016949,0.1984732824427481,query_1,"['HP:0002795', 'HP:0100326']","['MUC7', 'IL13', 'CCL11', 'TGFB1', 'PEX5', 'CASP8', 'BBS1', 'CFTR', 'ERCC2', 'PEPD', 'PTGER2', 'TNF', 'ADA', 'TALDO1', 'ALOX5', 'CDSN', 'LRBA', 'HNMT', 'ADRB2', 'HMOX1', 'NFKB2', 'HLA-G', 'TBX21', 'MS4A2', 'ALMS1', 'LIFR']","[['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP']]"
1,HP,HP:0100326,Immunologic hypersensitivity,6.382968404409981e-20,True,Immunological states where the immune system produces harmful responses upon reexposure to sensitising antigens.,190,59,27,4856,0.4576271186440678,0.14210526315789473,query_1,['HP:0010978'],"['MUC7', 'IL13', 'CCL11', 'TGFB1', 'PEX5', 'CASP8', 'BBS1', 'CFTR', 'ERCC2', 'PEPD', 'PTGER2', 'TNF', 'ADA', 'TALDO1', 'ALOX5', 'CDSN', 'LRBA', 'HNMT', 'ADRB2', 'HMOX1', 'NFKB2', 'HLA-DPB1', 'HLA-G', 'TBX21', 'MS4A2', 'ALMS1', 'LIFR']","[['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP']]"
2,REAC,REAC:R-HSA-449147,Signaling by Interleukins,1.130522209933611e-14,True,Signaling by Interleukins,460,82,27,10777,0.32926829268292684,0.058695652173913045,query_1,['REAC:R-HSA-1280215'],"['CCL2', 'IL4', 'MMP9', 'IL13', 'CCL5', 'IL1B', 'CCL11', 'IL5', 'VEGFA', 'IL33', 'IRAK3', 'BCL2', 'SOD1', 'IL1RN', 'NOS2', 'IL1RL1', 'TNF', 'TALDO1', 'ALOX5', 'PPP2CA', 'HMOX1', 'NFKB2', 'PTGS2', 'TSLP', 'ICAM1', 'LIF', 'LIFR']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
3,HP,HP:4000007,Bronchoconstriction,2.1818176326669348e-14,True,Tightening of smooth muscle surrounding the bronchi and bronchioles with consequent wheezing and shortness of breath.,13,59,10,4856,0.1694915254237288,0.7692307692307693,query_1,['HP:0025427'],"['MUC7', 'IL13', 'CCL11', 'PTGER2', 'TNF', 'ALOX5', 'HNMT', 'ADRB2', 'HLA-G', 'TBX21']","[['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP']]"
4,GO:BP,GO:0006954,inflammatory response,9.323485524653867e-14,True,"""The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."" [GO_REF:0000022, ISBN:0198506732]",535,95,26,16307,0.2736842105263158,0.048598130841121495,query_1,['GO:0006952'],"['CCR3', 'CCL2', 'IL4', 'MMP9', 'IL13', 'CCL5', 'IL1B', 'CCL11', 'IL5', 'IL33', 'CD14', 'PTGIR', 'PTGER2', 'IL1RN', 'TBXA2R', 'NOS2', 'TNF', 'ALOX5', 'GSTP1', 'HLA-DRB1', 'HMOX1', 'PTGS2', 'TSLP', 'PTGDR', 'CXCL6', 'CCL15']","[['IBA', 'TAS'], ['IDA', 'IBA'], ['IGI', 'ISS', 'IBA', 'IC'], ['TAS'], ['IGI', 'TAS'], ['IDA', 'IBA', 'TAS'], ['IDA', 'IGI', 'ISS', 'IBA', 'TAS', 'NAS'], ['IBA', 'TAS'], ['TAS'], ['ISS', 'IBA', 'TAS'], ['IBA'], ['IBA'], ['IBA'], ['IBA'], ['IBA'], ['IDA', 'IBA'], ['IDA', 'IMP', 'IGI', 'ISS', 'TAS', 'NAS'], ['IDA', 'IMP', 'ISS'], ['NAS'], ['IDA'], ['IMP'], ['ISS', 'NAS'], ['IMP'], ['IBA'], ['IBA'], ['IBA']]"
5,GO:BP,GO:0042221,response to chemical,1.5445877188590345e-13,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",2638,95,51,16307,0.5368421052631579,0.019332827899924184,query_1,['GO:0050896'],"['CCR3', 'CCL2', 'IL4', 'MMP9', 'CCL5', 'IL1B', 'CCL11', 'VEGFA', 'ARG1', 'IL33', 'GSTM1', 'CD14', 'CAT', 'IRAK3', 'NPY', 'BBS4', 'CASP8', 'BCL2', 'CFTR', 'SOD1', 'PTGER2', 'IL1RN', 'PLAU', 'NOS2', 'TNF', 'ADA', 'ALOX5', 'PPP2CA', 'PARP1', 'ADCY2', 'NQO1', 'GSTP1', 'KRT19', 'PRKCZ', 'ADRB2', 'POSTN', 'HLA-DRB1', 'HMOX1', 'EDN1', 'PDE4D', 'CXCL14', 'MYLK', 'TIMP3', 'PTGS2', 'TSLP', 'PDE4B', 'ICAM1', 'LIFR', 'CALCRL', 'CXCL6', 'CCL15']","[['IBA', 'TAS'], ['IDA', 'IEP', 'ISS', 'IBA', 'TAS'], ['IBA'], ['IDA', 'ISS'], ['IDA', 'IEP', 'IBA', 'TAS', 'NAS', 'IC'], ['IDA', 'ISS', 'IBA'], ['IDA', 'IBA', 'TAS'], ['IDA', 'IMP', 'ISS', 'IBA', 'NAS'], ['IMP'], ['ISS'], ['IDA'], ['IDA', 'IMP', 'IBA'], ['IDA', 'IMP', 'IBA'], ['IMP', 'ISS', 'IBA', 'IC'], ['ISS'], ['ISS'], ['IMP', 'TAS'], ['IDA', 'IMP'], ['IDA', 'IMP', 'IGI', 'ISS'], ['IDA', 'IMP', 'ISS', 'IBA', 'IC'], ['ISS', 'IBA'], ['IDA', 'IBA'], ['TAS'], ['IBA'], ['IDA', 'IMP', 'IBA'], ['IDA'], ['IMP', 'ISS'], ['ISS', 'TAS', 'NAS'], ['IDA', 'IMP'], ['ISS'], ['IDA', 'TAS'], ['IDA', 'ISS', 'IC'], ['IEP'], ['IMP', 'ISS'], ['IGI'], ['IDA'], ['IMP'], ['IDA', 'IEP', 'ISS'], ['IDA'], ['IDA'], ['TAS'], ['IDA'], ['IBA'], ['IEP'], ['IDA'], ['ISS'], ['IDA'], ['IDA', 'IMP', 'IBA'], ['IDA'], ['IDA', 'IBA', 'TAS'], ['IBA', 'TAS']]"
6,WP,WP:WP5095,Overview of proinflammatory and profibrotic mediators,3.5382119509912934e-13,True,Overview of proinflammatory and profibrotic mediators,127,86,18,7899,0.20930232558139536,0.14173228346456693,query_1,['WP:000000'],"['CCL2', 'IL4', 'MMP9', 'IL13', 'CCL5', 'IL1B', 'CCL11', 'IL5', 'VEGFA', 'TGFB1', 'IL33', 'IL1RN', 'TNF', 'CXCL14', 'TSLP', 'LIF', 'CXCL6', 'CCL15']","[['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP']]"
7,REAC,REAC:R-HSA-1280215,Cytokine Signaling in Immune system,7.953096795310371e-13,True,Cytokine Signaling in Immune system,704,82,30,10777,0.36585365853658536,0.04261363636363636,query_1,['REAC:R-HSA-168256'],"['CCL2', 'IL4', 'MMP9', 'IL13', 'CCL5', 'IL1B', 'CCL11', 'IL5', 'VEGFA', 'IL33', 'IRAK3', 'BCL2', 'SOD1', 'IL1RN', 'NOS2', 'IL1RL1', 'TNF', 'TALDO1', 'ALOX5', 'PPP2CA', 'HLA-DRB1', 'HMOX1', 'NFKB2', 'HLA-DPB1', 'PTGS2', 'TSLP', 'HLA-G', 'ICAM1', 'LIF', 'LIFR']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
8,WP,WP:WP3624,Lung fibrosis,1.0253357619326912e-12,True,Lung fibrosis,63,86,14,7899,0.16279069767441862,0.2222222222222222,query_1,['WP:000000'],"['CCR3', 'CCL2', 'IL4', 'MMP9', 'IL13', 'CCL5', 'IL1B', 'CCL11', 'IL5', 'TGFB1', 'PLAU', 'TNF', 'HMOX1', 'EDN1']","[['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP']]"
9,REAC,REAC:R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,1.7012800614975456e-12,True,Interleukin-4 and Interleukin-13 signaling,110,82,15,10777,0.18292682926829268,0.13636363636363635,query_1,['REAC:R-HSA-449147'],"['CCL2', 'IL4', 'MMP9', 'IL13', 'IL1B', 'CCL11', 'VEGFA', 'BCL2', 'NOS2', 'TNF', 'ALOX5', 'HMOX1', 'PTGS2', 'ICAM1', 'LIF']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
